City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Houma,US,78.8,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
262,Axim,GH,80.46,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
263,Koungou,YT,83.91,clear sky,-12.7336,45.2042,Villa Netibor
264,Kure,JP,76.15,overcast clouds,34.2333,132.5667,Kure Station Hotel
265,Victoria,HK,89.96,few clouds,22.2855,114.1577,Mini Hotel Central
266,Kiunga,PG,78.82,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
267,Tual,ID,81.12,broken clouds,-5.6667,132.75,Grand Vilia Hotel
269,Nanchang,CN,87.06,light rain,28.6833,115.8833,Gloria Plaza Hotel Nanchang
270,Jalu,LY,80.29,clear sky,29.0331,21.5482,صاحبة الفخامة
272,Touros,BR,74.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
273,Maragogi,BR,75.25,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
274,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
275,Bengkulu,ID,83.44,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
276,Kapit,MY,84.0,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
278,Port Blair,IN,89.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
281,Kavaratti,IN,83.19,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
284,Tagusao,PH,85.32,moderate rain,9.1924,117.8141,Toledo
288,Iralaya,HN,78.94,overcast clouds,15.0,-83.2333,Iglesia morava renovada
289,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
291,Sabang,ID,83.93,overcast clouds,5.8933,95.3214,Hotel Citra
292,Khandbari,NP,83.03,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
294,Halmstad,SE,70.0,overcast clouds,56.6745,12.8568,Best Western Plus Grand Hotel
295,Westport,US,77.76,clear sky,41.1415,-73.3579,The Westport Inn
296,Kaputa,ZM,71.42,broken clouds,-8.4689,29.6619,Chelelwa Charlets
298,Dwarka,IN,88.99,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
302,La Crosse,US,78.71,clear sky,43.8014,-91.2396,Holiday Inn & Suites la Crosse - Downtown
303,Hobyo,SO,85.51,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
304,Point Pedro,LK,86.25,overcast clouds,9.8167,80.2333,Gtr homes
306,Yiyang,CN,89.46,scattered clouds,28.5892,112.3283,Tongcheng International Hotel
308,Mount Vernon,US,78.06,overcast clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
311,Faanui,PF,80.78,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
314,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
315,Bintulu,MY,88.21,scattered clouds,3.1667,113.0333,900 Boutique INN
317,Kismayo,SO,83.86,scattered clouds,-0.3582,42.5454,Agan-Hotel
325,Ormara,PK,85.06,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
326,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
327,Hami,CN,72.32,overcast clouds,42.8,93.45,Laoyutang Resort
328,Luang Prabang,LA,86.95,overcast clouds,19.8856,102.1347,Villa Oasis
329,Belvedere Marittimo,IT,87.17,broken clouds,39.6179,15.8617,La Marinella
331,Harper,LR,77.7,moderate rain,4.375,-7.7169,Screensaver
333,Prado,BR,72.25,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
335,Misratah,LY,76.35,clear sky,32.3754,15.0925,فندق الماسة
