City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Iqaluit,CA,2021-06-06 02:57:46,63.7506,-68.5145,29.93,100,90,5.99
97,Castro,BR,2021-06-06 02:57:47,-24.7911,-50.0119,57.76,78,53,2.86
98,Olafsvik,IS,2021-06-06 02:57:47,64.8945,-23.7142,47.52,84,93,12.82
99,Dalby,AU,2021-06-06 02:57:47,-27.1833,151.2667,59.7,36,0,6.87
100,Esperance,AU,2021-06-06 02:57:48,-33.8667,121.9,60.64,56,19,19.33
101,San Carlos De Bariloche,AR,2021-06-06 02:55:23,-41.1456,-71.3082,33.55,80,75,3.29
102,Paradise Valley,US,2021-06-06 02:57:48,33.5312,-111.9427,98.2,11,20,1.99
103,Torbay,CA,2021-06-06 02:57:48,47.6666,-52.7314,53.76,98,90,5.75
104,Angoche,MZ,2021-06-06 02:57:49,-16.2325,39.9086,68.25,82,72,11.34
105,Qaanaaq,GL,2021-06-06 02:57:49,77.484,-69.3632,34.88,71,80,6.82
106,Kruisfontein,ZA,2021-06-06 02:56:27,-34.0033,24.7314,51.73,28,0,9.26
107,Atikokan,CA,2021-06-06 02:57:49,48.7555,-91.6216,67.14,85,30,10.71
108,Arraial Do Cabo,BR,2021-06-06 02:57:49,-22.9661,-42.0278,72.93,86,0,21.54
109,Baneh,IR,2021-06-06 02:57:50,35.9975,45.8853,67.51,27,0,4.29
110,Alihe,CN,2021-06-06 02:57:50,50.5667,123.7167,74.59,23,0,1.34
111,Biak,ID,2021-06-06 02:57:50,-0.9131,122.8766,82.87,69,33,8.97
112,Kem,RU,2021-06-06 02:57:51,64.9555,34.5793,46.13,68,71,15.55
113,Cidreira,BR,2021-06-06 02:57:51,-30.1811,-50.2056,64.67,92,100,9.93
114,Quatre Cocos,MU,2021-06-06 02:52:58,-20.2078,57.7625,66.31,81,46,1.86
115,Xiaoweizhai,CN,2021-06-06 02:57:51,26.1903,107.5125,82.98,49,21,1.3
116,Sept-Iles,CA,2021-06-06 02:57:51,50.2001,-66.3821,53.6,80,20,5.75
117,Saint-Paul,RE,2021-06-06 02:57:52,-21.0096,55.2707,73.0,92,80,3.0
118,Manzanillo,CU,2021-06-06 02:57:52,20.3433,-77.1167,75.96,89,16,6.91
119,Atar,MR,2021-06-06 02:57:52,20.5169,-13.0499,87.35,16,100,13.02
120,Virginia Beach,US,2021-06-06 02:56:09,36.8529,-75.978,79.02,85,0,8.34
121,Geraldton,AU,2021-06-06 02:57:53,-28.7667,114.6,67.12,63,0,7.83
122,Lebu,CL,2021-06-06 02:57:53,-37.6167,-73.65,48.52,79,91,10.98
123,Lucea,JM,2021-06-06 02:57:53,18.451,-78.1736,82.26,82,16,8.68
124,Trojes,AL,2021-06-06 02:57:53,41.756,19.962,55.89,72,0,4.36
125,Olinala,MX,2021-06-06 02:57:54,17.8333,-98.85,69.31,77,96,0.78
126,Rio Grande,BR,2021-06-06 02:57:54,-32.035,-52.0986,58.95,95,100,9.22
127,Dunedin,NZ,2021-06-06 02:57:54,-45.8742,170.5036,50.13,75,100,3.85
128,Chara,RU,2021-06-06 02:57:54,56.9064,118.2631,80.28,25,35,9.78
129,Bitung,ID,2021-06-06 02:57:55,1.4451,125.1824,92.25,68,81,13.53
130,Susehri,TR,2021-06-06 02:57:55,40.1644,38.0867,47.43,87,72,3.56
131,Kaitangata,NZ,2021-06-06 02:57:55,-46.2817,169.8464,53.92,59,80,3.96
132,Sarangani,PH,2021-06-06 02:57:56,5.4033,125.4636,81.88,74,98,14.12
133,Ahipara,NZ,2021-06-06 02:53:14,-35.1667,173.1667,58.35,92,100,16.4
134,Tabas,IR,2021-06-06 02:57:56,33.5959,56.9244,96.33,8,0,1.9
135,Chuy,UY,2021-06-06 02:57:56,-33.6971,-53.4616,52.79,89,100,7.94
136,Hilo,US,2021-06-06 02:57:57,19.7297,-155.09,81.28,77,27,3.0
137,Alofi,NU,2021-06-06 02:57:57,-19.0595,-169.9187,78.69,69,38,10.36
138,Faya,SA,2021-06-06 02:57:34,18.3851,42.4509,66.72,56,0,2.08
139,Santiago Del Estero,AR,2021-06-06 02:55:35,-27.7951,-64.2615,61.7,68,100,13.35
140,Shimoda,JP,2021-06-06 02:57:57,34.6667,138.95,68.36,97,100,8.52
141,Upington,ZA,2021-06-06 02:57:58,-28.4478,21.2561,48.58,31,0,5.75
142,Roros,NO,2021-06-06 02:57:58,62.5747,11.3842,48.04,81,90,2.3
143,Iquique,CL,2021-06-06 02:57:58,-20.2208,-70.1431,62.64,80,12,3.69
