City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Kouroussa,GN,10.65,-9.8833,76.96,75,8,5.68,clear sky
123,Gwadar,PK,25.1216,62.3254,87.26,65,31,12.44,scattered clouds
124,Saint George,US,37.1041,-113.5841,88.39,12,1,5.75,clear sky
125,Le Moule,GP,16.3332,-61.3473,77.04,76,100,15.17,overcast clouds
126,Bredasdorp,ZA,-34.5322,20.0403,60.12,36,16,6.13,few clouds
127,Atambua,ID,-9.1061,124.8925,79.61,66,55,2.04,broken clouds
128,Odienne,CI,9.51,-7.5692,76.86,82,25,2.55,scattered clouds
129,Ponta Do Sol,PT,32.6667,-17.1,68.63,73,31,5.91,scattered clouds
130,Torbay,CA,47.6666,-52.7314,57.97,96,75,17.27,broken clouds
131,Melilla,ES,35.2937,-2.9383,73.78,60,20,2.3,few clouds
132,Peterongan,ID,-7.5394,112.2792,91.0,56,34,3.33,scattered clouds
133,Mahebourg,MU,-20.4081,57.7,79.09,73,75,6.91,broken clouds
134,Geraldton,AU,-28.7667,114.6,70.21,37,0,14.83,clear sky
135,Mar Del Plata,AR,-38.0023,-57.5575,46.13,66,0,1.99,clear sky
136,Takoradi,GH,4.8845,-1.7554,79.32,81,76,2.64,light rain
137,Margate,GB,51.3813,1.3862,66.06,79,17,2.39,few clouds
138,Svetlyy,RU,54.675,20.1347,69.85,66,1,5.59,clear sky
139,Zanjan,IR,36.6736,48.4787,80.29,24,0,16.64,clear sky
140,Nanortalik,GL,60.1432,-45.2371,38.82,89,100,2.21,overcast clouds
141,Vuktyl,RU,63.8567,57.3094,61.77,34,32,11.83,scattered clouds
142,Huangzhai,CN,38.0751,112.6595,91.81,11,100,14.36,overcast clouds
143,Sawtell,AU,-30.3833,153.1,59.32,80,0,3.44,clear sky
144,Palmer,US,42.1584,-72.3287,73.42,91,1,1.86,clear sky
145,Haines Junction,CA,60.7522,-137.5108,49.95,66,93,6.91,overcast clouds
146,Independence,US,39.0911,-94.4155,69.12,83,100,1.01,overcast clouds
147,Dikson,RU,73.5069,80.5464,31.15,96,99,10.25,overcast clouds
148,Nago,JP,26.5881,127.9761,86.43,85,100,17.2,overcast clouds
149,Anzhero-Sudzhensk,RU,56.081,86.0285,69.46,59,96,6.38,light rain
150,Kingman,US,35.1894,-114.053,85.48,7,5,1.01,clear sky
151,Port Elizabeth,ZA,-33.918,25.5701,59.29,47,0,8.05,clear sky
152,Majene,ID,-3.5403,118.9707,85.62,68,82,7.09,broken clouds
153,Shelburne,CA,44.0787,-80.2041,73.89,50,42,12.8,scattered clouds
154,Abyek,IR,36.0667,50.55,83.8,12,0,8.84,clear sky
155,Namatanai,PG,-3.6667,152.4333,80.74,83,98,6.2,light rain
156,Fenoarivo Atsinanana,MG,-17.3667,49.4167,76.53,75,39,10.92,light rain
157,San Buenaventura,MX,27.0833,-101.5333,81.48,53,1,4.47,clear sky
158,Doha,QA,25.2867,51.5333,109.71,31,0,10.36,clear sky
159,Caranavi,BO,-15.8167,-67.55,62.49,99,100,1.7,overcast clouds
160,Sobolevo,RU,54.4299,31.8996,65.23,75,28,7.9,scattered clouds
161,Salalah,OM,17.0151,54.0924,89.8,67,8,12.41,clear sky
162,Tocopilla,CL,-22.092,-70.1979,61.09,69,12,5.28,few clouds
163,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.43,89,0,10.0,clear sky
164,Fuling,CN,29.7022,107.3919,88.23,56,99,2.62,overcast clouds
165,Ahuimanu,US,21.4447,-157.8378,77.76,68,4,18.5,clear sky
166,Yarada,IN,17.65,83.2667,97.12,49,20,15.23,few clouds
167,Linguere,SN,15.3953,-15.1193,80.82,54,5,6.91,clear sky
168,Thompson,CA,55.7435,-97.8558,51.96,93,75,3.44,broken clouds
169,Norman Wells,CA,65.282,-126.8329,42.84,87,90,12.66,light rain
170,Riverton,US,40.5219,-111.9391,74.68,38,24,1.01,few clouds
171,Ahipara,NZ,-35.1667,173.1667,59.7,96,100,3.65,overcast clouds
172,Laguna,US,38.421,-121.4238,75.02,51,73,1.99,broken clouds
173,Port Lincoln,AU,-34.7333,135.8667,61.92,63,91,16.96,overcast clouds
174,Shitanjing,CN,39.2342,106.3439,79.09,27,100,17.11,overcast clouds
175,Savinskiy,RU,62.9342,40.1361,76.48,35,99,5.1,overcast clouds
176,Copiapo,CL,-27.3667,-70.3333,53.29,79,0,2.51,clear sky
177,Fortuna,US,40.5982,-124.1573,54.48,69,90,1.01,overcast clouds
178,Lasa,IT,46.6166,10.7002,59.61,88,100,4.21,overcast clouds
179,Kaeo,NZ,-35.1,173.7833,61.32,95,100,19.35,moderate rain
180,Maniitsoq,GL,65.4167,-52.9,38.48,96,100,13.82,light rain
181,Yamada,JP,39.4667,141.95,71.42,71,100,8.7,overcast clouds
182,Buin,CL,-33.7333,-70.75,58.73,66,100,1.36,overcast clouds
183,Benjamin Constant,BR,-4.3831,-70.0311,73.53,99,100,1.19,heavy intensity rain
184,Kupang,ID,-10.1667,123.5833,86.58,58,40,14.97,scattered clouds
185,Horsham,GB,51.064,-0.3272,65.32,68,0,5.64,clear sky
186,Ilheus,BR,-14.7889,-39.0494,72.39,92,93,5.17,overcast clouds
187,Puerto Palomas,MX,31.7667,-107.6167,77.79,16,26,24.81,scattered clouds
188,Kharp,RU,66.8014,65.8081,43.86,49,100,15.05,overcast clouds
189,Mazamari,PE,-11.3258,-74.5308,66.76,97,21,1.5,few clouds
190,Akdepe,TM,42.0551,59.3788,96.89,19,7,7.31,clear sky
191,Avarua,CK,-21.2078,-159.775,73.45,64,40,4.61,scattered clouds
192,Buala,SB,-8.145,159.5921,80.83,80,9,4.94,light rain
193,Saskylakh,RU,71.9167,114.0833,43.56,49,82,12.5,broken clouds
194,Maryville,US,35.7565,-83.9705,71.73,94,100,1.01,overcast clouds
195,Qaqortoq,GL,60.7167,-46.0333,40.53,85,100,1.97,overcast clouds
196,Kaitangata,NZ,-46.2817,169.8464,49.93,73,58,2.44,broken clouds
197,San Quintin,MX,30.4833,-115.95,67.44,90,24,3.76,few clouds
198,Bambous Virieux,MU,-20.3428,57.7575,79.05,73,75,4.63,broken clouds
199,Nelson Bay,AU,-32.7167,152.15,59.0,77,0,5.39,clear sky
200,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,81,1,4.61,clear sky
201,Myanaung,MM,18.2833,95.3167,97.23,40,96,11.95,overcast clouds
202,Sinnamary,GF,5.3833,-52.95,76.32,89,63,1.97,broken clouds
203,Airai,TL,-8.9266,125.4092,65.86,73,97,3.78,overcast clouds
204,Burnie,AU,-41.0667,145.9167,54.3,93,100,14.09,light rain
205,Kavieng,PG,-2.5744,150.7967,82.33,75,100,5.57,overcast clouds
206,Tiksi,RU,71.6872,128.8694,47.97,43,96,10.58,overcast clouds
207,Shambu,ET,9.5667,37.1,67.87,47,88,0.13,overcast clouds
208,Clonakilty,IE,51.6231,-8.8706,54.09,82,65,5.88,broken clouds
